,(basal) dendrite,axon,dataset,hemisphere_id,structure_id
0,,771.2534292122803,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,381
1,,771.2534292122803,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,323
2,,798.8186807853862,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,313
3,,798.8186807853862,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,343
4,6.19363306288753,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,831
5,6.19363306288753,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,104
6,6.19363306288753,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,95
7,6.19363306288753,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,315
8,6.19363306288753,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,695
9,6.19363306288753,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,688
10,,22.465120787727454,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,342
11,,22.465120787727454,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,835
12,,24.16228580842231,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,1031
13,,24.16228580842231,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,818
14,,81.0923951420209,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,803
15,,51.10782919061948,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,559
16,,51.10782919061948,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,536
17,,51.10782919061948,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,278
18,478.2391041535005,312.3047048638772,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,672
19,478.2391041535005,312.3047048638772,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,485
20,478.2391041535005,403.932498379322,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,477
21,478.2391041535005,485.0248935213429,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,623
22,484.43273721638803,485.0248935213429,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,567
23,484.43273721638803,1283.8435743067291,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,8
24,12.01668233025524,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,579
25,12.01668233025524,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,956
26,12.01668233025524,,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,776
27,,57.63722804718524,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,6
28,,57.63722804718524,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,784
29,12.01668233025524,57.63722804718524,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,983
30,12.01668233025524,98.62140512624097,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,1009
31,496.4494195466433,1382.46497943297,17302_011_HGD__LijLiu_HGD_07162018.ano.eswc,1,997
