,(basal) dendrite,axon,dataset,hemisphere_id,structure_id
0,,5.857399361263463,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,862
1,,38.17154534523862,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,893
2,,44.02894470650208,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,378
3,223.89951885522714,212.07741383257107,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,1102
4,441.6717431844676,271.29533826799855,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,2
5,665.5712620396947,483.37275210056964,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,345
6,665.5712620396947,483.37275210056964,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,322
7,665.5712620396947,527.4016968070717,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,453
8,,21.09752929601929,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,662
9,,187.67884184306646,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,638
10,,208.77637113908577,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,1057
11,665.5712620396947,736.1780679461575,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,315
12,665.5712620396947,736.1780679461575,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,695
13,665.5712620396947,736.1780679461575,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,688
14,,49.15180722526986,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,1022
15,,49.15180722526986,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,818
16,,49.15180722526986,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,803
17,158.2928716057858,2281.1489823477204,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,672
18,158.2928716057858,2281.1489823477204,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,485
19,158.2928716057858,2281.1489823477204,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,477
20,158.2928716057858,2330.30078957299,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,623
21,823.8641336454805,3066.478857519148,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,567
22,823.8641336454805,3066.478857519148,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,8
23,,4.461610370478847,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,579
24,,4.461610370478847,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,956
25,,12.816166195720642,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,1108
26,240.754900911371,237.90825339542505,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,484682516
27,240.754900911371,255.18602996162454,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,776
28,240.754900911371,255.18602996162454,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,983
29,225.31386725679204,76.88958490009642,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,484682512
30,466.06876816816305,332.07561486172096,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,1009
31,1289.9329018136436,3398.554472380869,17302_016_JP_SYY_LijLiu_08032018.ano.eswc,1,997
