,(basal) dendrite,axon,dataset,hemisphere_id,structure_id
0,,181.68177763586232,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,1022
1,,181.68177763586232,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,818
2,,181.68177763586232,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,803
3,410.7733377771407,3564.2055531098495,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,672
4,410.7733377771407,3564.2055531098495,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,485
5,410.7733377771407,3564.2055531098495,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,477
6,410.7733377771407,3745.8873307457116,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,623
7,410.7733377771407,3745.8873307457116,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,567
8,410.7733377771407,3745.8873307457116,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,8
9,410.7733377771407,3745.8873307457116,17302_043_WanW_ZSJ_LijLiu_07242018.ano.eswc,1,997
