,(basal) dendrite,axon,dataset,hemisphere_id,structure_id
0,,3.5871608819518346,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,182305713
1,,1.045733088915004,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,182305709
2,,4.632893970866839,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,182305689
3,,4.636532676714937,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,1026
4,,4.636532676714937,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,369
5,,1.1635272260201335,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,2
6,,1.1635272260201335,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,345
7,,10.43295387360191,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,322
8,,10.43295387360191,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,453
9,,10.43295387360191,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,315
10,,10.43295387360191,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,695
11,,10.43295387360191,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,688
12,,149.9715628253412,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,1022
13,,149.9715628253412,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,818
14,,149.9715628253412,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,803
15,340.13198971018346,2415.9752566702323,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,672
16,340.13198971018346,2415.9752566702323,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,485
17,340.13198971018346,2415.9752566702323,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,477
18,340.13198971018346,2565.9468194955734,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,623
19,340.13198971018346,2576.3797733691754,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,567
20,340.13198971018346,2576.3797733691754,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,8
21,,39.0784057559405,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,484682516
22,,39.0784057559405,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,776
23,,39.0784057559405,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,983
24,,30.242251250970973,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,484682512
25,,69.32065700691147,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,1009
26,340.13198971018346,2645.700430376087,17302_046_SYY_ZSJ_LjLiu07172018.ano.eswc,1,997
