,(basal) dendrite,axon,dataset,hemisphere_id,structure_id
0,,142.8909890803658,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,342
1,,142.8909890803658,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,835
2,,66.8290824197364,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,1022
3,,66.8290824197364,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,818
4,,264.09754815032113,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,803
5,252.85908886846227,3007.810008364659,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,672
6,252.85908886846227,3007.810008364659,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,485
7,252.85908886846227,3014.831955347523,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,477
8,252.85908886846227,3278.929503497844,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,623
9,252.85908886846227,3278.929503497844,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,567
10,252.85908886846227,3278.929503497844,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,8
11,,29.175875412608935,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,908
12,,29.175875412608935,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,768
13,,29.175875412608935,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,991
14,,29.175875412608935,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,1009
15,252.85908886846227,3308.105378910453,17302_074_LiuAn_LijLiu_Liuan_05152018.ano.swc.ano.eswc,2,997
