,(basal) dendrite,axon,dataset,hemisphere_id,structure_id
0,,7.370174863685523,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,662
1,,7.370174863685523,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,1057
2,,7.370174863685523,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,315
3,,7.370174863685523,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,695
4,,7.370174863685523,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,688
5,631.1709842779734,1842.5669041988149,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,672
6,631.1709842779734,1842.5669041988149,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,485
7,631.1709842779734,1842.5669041988149,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,477
8,631.1709842779734,1842.5669041988149,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,623
9,631.1709842779734,1849.9370790625005,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,567
10,631.1709842779734,1849.9370790625005,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,8
11,329.25987061192626,63.87110232295556,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,1108
12,,2.0352925020976906,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,484682516
13,329.25987061192626,65.90639482505325,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,776
14,329.25987061192626,65.90639482505325,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,983
15,42.28625363097828,7.444521387008515,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,484682512
16,371.5461242429045,73.35091621206178,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,1009
17,1002.7171085208779,1923.2879952745623,17302_108_ZWX_LijLiu_07062018.ano.eswc,2,997
