,Type,Percentage_unconnected(%),Number_single_trees,Exist_duplicate_nodes
043,CPU,93.62252099999999,2,0
085,CPU,91.51531700000001,5,0
111,CPU,90.865193,3,0
040,LGN,87.44273299999999,24,0
054,Thalamuscells,80.711793,28,0
076,Thalamuscells,33.230537,5,0
013,CPU,28.09514,3,0
077,Thalamuscells,21.420174,3,0
074,CPU,14.356419,8,0
064,LGN,13.755987,5,0
075,CPU,13.752564000000001,760,0
109,CPU,10.803849000000001,4,0
048,LGN,9.543647,13,0
080,Thalamuscells,9.420774,26,0
120,LGN,8.304015,11,0
007,CPU,8.216854,4,0
079,Thalamuscells,8.0742,13,0
084,CPU,7.938523,9,0
003,CPU,7.828728,2,0
083,CPU,7.629705,4,0
016,CPU,7.240096,5,0
047,CPU,6.915603,3,0
095,CPU,6.496319000000001,3,0
066,LGN,6.398815,11,0
081,CPU,5.669363,3,0
065,LGN,5.3390010000000006,8,0
005,CPU,5.297841,13,0
055,CPU,5.243594,6,0
004,CPU,4.933324,3,0
017,CPU,4.5467580000000005,5,0
039,LGN,4.252791,11,0
002,CPU,4.126777,5,0
106,CPU,3.8315,7,0
050,CPU,3.487881,2,0
082,CPU,3.3799650000000003,2,0
094,CPU,2.885956,6,0
119,LGN,2.39643,8,0
045,CPU,2.175191,3,0
078,Thalamuscells,1.8389259999999998,3,0
105,CPU,1.774128,3,0
090,CPU,1.7665689999999998,5,0
014,CPU,1.7536049999999999,2,0
118,LGN,1.044616,5,0
114,Thalamuscells,1.0388709999999999,2,0
115,Thalamuscells,0.995899,3,0
101,CPU,0.870812,4,0
053,Thalamuscells,0.777543,4,0
030,CPU,0.694923,2,0
049,LGN,0.640725,5,0
121,LGN,0.6133850000000001,2,0
096,CPU,0.61056,2,0
116,Thalamuscells,0.58758,2,0
011,CPU,0.41841000000000006,2,0
031,CPU,0.40275,2,0
001,CPU,0.373229,3,0
027,CPU,0.28647399999999995,3,0
089,CPU,0.271778,2,0
108,CPU,0.24225500000000003,3,0
012,CPU,0.237154,4,0
033,CPU,0.067714,3,0
110,CPU,0.029344,4,0
125,Thalamuscells,0.008373,3,0
006,CPU,0.007881,2,0
009,CPU,0.004077,2,0
123,CPU,0.0,1,0
091,CPU,0.0,1,0
056,CPU,0.0,1,0
059,CPU,0.0,1,0
124,CPU,0.0,5,0
093,CPU,0.0,1,0
062,CPU,0.0,1,0
032,CPU,0.0,14,0
042,CPU,0.0,1,0
063,CPU,0.0,1,0
103,CPU,0.0,1,0
015,CPU,0.0,1,0
044,CPU,0.0,1,0
092,CPU,0.0,1,0
107,CPU,0.0,1,0
057,CPU,0.0,1,0
112,Thalamuscells,0.0,1,0
113,Thalamuscells,0.0,1,0
088,CPU,0.0,1,0
046,CPU,0.0,1,0
086,CPU,0.0,1,0
097,CPU,0.0,1,0
028,CPU,0.0,1,0
008,CPU,0.0,1,0
010,CPU,0.0,1,0
087,CPU,0.0,51,0
